id,title,authors,year,venue,doi,pmid,url,type,peer_reviewed,cycle,agent,territory,relevance_notes,verification_status,resolvable
T5-004,Uncertainty Quantification for Machine Learning in Healthcare: A Survey,Zhou et al (arXiv 2505.02874),2025,arXiv 2505.02874,10.48550/arXiv.2505.02874,,https://arxiv.org/html/2505.02874v1,review,FALSE,1,methods-scout,T5,"Recent survey covering conformal, deep ensembles, adaptive uncertainty thresholds for clinical decision-making",VERIFIED,TRUE
T5-005,TRIPOD+AI statement: updated guidance for reporting clinical prediction models,Collins et al,2024,BMJ 385:e078378,10.1136/bmj-2023-078378,,https://doi.org/10.1136/bmj-2023-078378,article,TRUE,1,methods-scout,T5,"Reporting guideline emphasizing calibration, fairness, reproducibility, uncertainty for prediction models",VERIFIED,TRUE
T5-006,Transparent Reporting of a Multivariable Prediction Model (TRIPOD) Statement,Collins et al (Moons/Kleinrouweler),2015,BMJ 350:g7594 / Ann Intern Med,10.1136/bmj.g7594,,https://doi.org/10.1136/bmj.g7594,guideline,TRUE,1,methods-scout,T5,Original TRIPOD; validation and calibration reporting standards,VERIFIED,TRUE
T7-001,Generating synthetic EHR data: methodological scoping review with benchmarking on phenotype data and open-source software (SynthEHRella),"Chen et al (Chen, Wu, Shi, Cho, Mukherjee)",2025,JAMIA 32:1227-1240 / arXiv 2411.04281,10.1093/jamia/ocaf082,,https://doi.org/10.1093/jamia/ocaf082,review+benchmark,TRUE,1,methods-scout,T7,"Load-bearing: scoping review (48 studies, 5 categories) + benchmark of 7 methods (+2 baselines) on MIMIC-III/IV; fidelity/utility/privacy/compute; identifies gap in non-GAN methods",VERIFIED,TRUE
T7-002,A cautionary note for plasmode simulation studies in the setting of causal inference,Liu et al,2025,arXiv 2504.11740,10.48550/arXiv.2504.11740,,https://arxiv.org/abs/2504.11740,preprint,FALSE,1,methods-scout,T7,Adversarial: shows plasmode frameworks can make estimators appear overly biased if misspecified; guidance on Generate-Treatment vs Generate-Outcome frameworks,VERIFIED,TRUE
T7-003,"Synthea: An approach, method, and software mechanism for generating synthetic patients",Walonoski et al,2018,JAMIA 25:230-238,10.1093/jamia/ocx079,29036597,https://doi.org/10.1093/jamia/ocx079,article,TRUE,1,methods-scout,T7,Rule-based synthetic EHR generator; reference baseline in all benchmarks; workflow-realistic but statistics-unfaithful,VERIFIED,TRUE
T7-004,MedGAN: Generating Medical Data via Generative Adversarial Networks,Choi et al,2017,AMIA 2017,10.48550/arXiv.1703.03427,,https://arxiv.org/abs/1703.03427,conference,TRUE,1,methods-scout,T7,GAN-based EHR generation; benchmark staple; known mode-collapse on rare codes,VERIFIED,TRUE
T7-005,EHRDiff: Conditional EHR Generation with Diffusion Models,Yuan et al (via Chen review),2023,arXiv 2301.07014 / KDD,10.48550/arXiv.2301.07014,,https://arxiv.org/abs/2301.07014,conference,TRUE,1,methods-scout,T7,Diffusion-based synthetic EHR; compared in Chen benchmark,VERIFIED,TRUE
T7-006,Multifaceted benchmarking of synthetic EHR generation (retracted comparison point),Yan et al,2022,Patterns / JAMIA benchmarking context,10.1016/j.patter.2022.100655,,https://doi.org/10.1016/j.patter.2022.100655,article,TRUE,1,methods-scout,T7,Prior benchmarking limited to GANs on closed-source data; motivates need for comprehensive open benchmarking (per Chen critique),VERIFIED,TRUE
T8-001,Reproducibility in machine learning for health research: Still a ways to go,"McDermott et al (McDermott, Wang, Marinsek, Ranganath, Foschini, Ghassemi)",2021,Sci Transl Med 13:eabb1655,10.1126/scitranslmed.abb1655,,https://doi.org/10.1126/scitranslmed.abb1655,review,TRUE,1,methods-scout,T8,Load-bearing: evaluated 511 papers; ML-for-health reproducibility worst vs other ML subfields on dataset/code accessibility,VERIFIED,TRUE
T8-002,Challenges to the Reproducibility of Machine Learning Models in Health Care,Beam et al,2020,JAMA 323:305-306,10.1001/jama.2020.2166,31904799,https://doi.org/10.1001/jama.2020.2166,commentary,TRUE,1,methods-scout,T8,"JAMA concise marker of reproducibility crisis: data decay, model decay, feature leakage",VERIFIED,TRUE
T8-003,TRIPOD+AI: updated guidance for reporting clinical prediction models (reproducibility lens),Collins et al,2024,BMJ 385:e078378,10.1136/bmj-2023-078378,,https://doi.org/10.1136/bmj-2023-078378,guideline,TRUE,1,methods-scout,T8,Reporting standard whose adoption level directly correlates with reproducibility; checklist now supersedes TRIPOD 2015,VERIFIED,TRUE
T8-004,Why Most Published Research Findings Are False,Ioannidis,2005,PLoS Med 2:e124,10.1371/journal.pmed.0020124,16060722,https://doi.org/10.1371/journal.pmed.0020124,article,TRUE,1,methods-scout,T8,"Foundational reproducibility framework: low PPV when small N, small effects, flexibility in analysis",VERIFIED,TRUE
T8-005,"Artificial intelligence versus clinicians: systematic review of design, reporting standards, and claims of deep learning studies",Nagendran et al,2020,BMJ 368:m689,10.1136/bmj.m689,32213531,https://doi.org/10.1136/bmj.m689,review,TRUE,1,methods-scout,T8,"Systematic review of 81 DL-vs-clinician studies; found majority at high risk of bias, poor reproducibility claims",VERIFIED,TRUE
T8-006,Feature robustness in non-stationary health records: Caveats to deployable model performance,Nestor et al,2019,MLHC PMLR 106:381-405,10.48550/arXiv.1908.00690,,https://arxiv.org/abs/1908.00690,conference,TRUE,1,methods-scout,T8,Empirical demonstration that feature definitions drift across time/sites -> replication failure even with same code,VERIFIED,TRUE
T6-01,A Review of Generalizability and Transportability,"Degtiar I, Rose S",2023,Annual Review of Statistics and Its Application,10.1146/annurev-statistics-042522-103837,,https://doi.org/10.1146/annurev-statistics-042522-103837,review,TRUE,1,clinical-evidence-scout,T6,"Canonical review: formalizes transportability vs generalizability, selection diagrams, weighting; establishes nascent field with few clinical exemplars",VERIFIED,TRUE
T6-02,Causal inference and the data-fusion problem,"Bareinboim E, Pearl J",2016,PNAS,10.1073/pnas.1510507113,,https://doi.org/10.1073/pnas.1510507113,journal,TRUE,1,clinical-evidence-scout,T6,Foundational data-fusion/transportability theory (do-calculus); do not attempt clinical validation,VERIFIED,TRUE
T6-03,External Validity: From Do-Calculus to Transportability Across Populations,"Pearl J, Bareinboim E",2014,Statistical Science,10.1214/14-STS486,,https://doi.org/10.1214/14-STS486,journal,TRUE,1,clinical-evidence-scout,T6,Original selection-diagram framework; backward chaining source; theory without EHR implementation,VERIFIED,TRUE
T6-04,Use of transportability methods for real-world evidence generation: a review of current applications,Levy NS et al,2024,J Comparative Effectiveness Research,10.57264/cer-2024-0064,39364567,https://pmc.ncbi.nlm.nih.gov/articles/PMC11542082,systematic_review,TRUE,1,clinical-evidence-scout,T6,"N=6 studies 2021-2023, all US/Canada, weighting dominates, assumptions poorly reported; proves scarcity in clinical practice",VERIFIED,TRUE
T6-05,Recalibration of Framingham risk for a local population of Sri Lanka,Rannan-Eliya et al,2023,BMC Public Health,10.1186/s12889-023-17601-8,,https://doi.org/10.1186/s12889-023-17601-8,journal,TRUE,1,clinical-evidence-scout,T6,South Asian recalibration case: Framingham overestimates; exemplifies transportability failure without formal correction,VERIFIED,TRUE
T6-06,Assessing the transportability of clinical prediction models for cognitive impairment,Ramspek CL et al,2023,BMC Medical Research Methodology,10.1186/s12874-023-02003-6,,https://doi.org/10.1186/s12874-023-02003-6,journal,TRUE,1,clinical-evidence-scout,T6,Prediction-model transportability case study; shows calibration degradation across cohorts,VERIFIED,TRUE
T6-07,"When, why and how are estimated effects transported between populations? A scoping review",Kang H et al,2025,European Journal of Epidemiology,10.1007/s10654-025-01217-w,,https://doi.org/10.1007/s10654-025-01217-w,scoping_review,TRUE,1,clinical-evidence-scout,T6,"2025 scoping review: maps purposes/methods of transporting effects; confirms heterogeneity of methods, lack of Indian data",VERIFIED,TRUE
T6-08,Extending inferences from a randomized trial to a new target population,Dahabreh IJ et al,2020,Statistics in Medicine (via AJE),10.1093/aje/kwy253,,https://doi.org/10.1093/aje/kwy253,journal,TRUE,1,clinical-evidence-scout,T6,"Inverse-odds weighting for generalizability; most cited applied estimator; US basis, no LMIC evaluation",VERIFIED,TRUE
T2-01,Estimation and Inference of Heterogeneous Treatment Effects using Random Forests,"Wager S, Athey S",2018,JASA,10.1080/01621459.2017.1319839,,https://doi.org/10.1080/01621459.2017.1319839,journal,TRUE,1,clinical-evidence-scout,T2,"Causal forests: core HTE machinery; simulation-strong, clinical replication weaker",VERIFIED,TRUE
T2-02,Meta-learners for Estimating Heterogeneous Treatment Effects using Machine Learning,Künzel SR et al,2019,PNAS,10.1073/pnas.1804597116,,https://doi.org/10.1073/pnas.1804597116,journal,TRUE,1,clinical-evidence-scout,T2,T/X/S-learner taxonomy; benchmarks on semi-synthetic data; limited real EHR transport tests,VERIFIED,TRUE
T2-03,Novel subgroups of adult-onset diabetes and their association with outcomes: a data-driven cluster analysis of six variables,Ahlqvist E et al,2018,Lancet Diabetes & Endocrinology,10.1016/S2213-8587(18)30051-2,,https://doi.org/10.1016/S2213-8587(18)30051-2,journal,TRUE,1,clinical-evidence-scout,T2,"Five diabetes clusters (Scandinavia); most celebrated subtyping exemplar, replication contested outside Nordics",VERIFIED,TRUE
T2-04,Prediction of treatment outcome in clinical trials under a personalized medicine perspective,Pavlovic et al style review,2022,Scientific Reports,10.1038/s41598-022-07801-4,,https://doi.org/10.1038/s41598-022-07801-4,journal,TRUE,1,clinical-evidence-scout,T2,Links HTE prediction to trial outcome; representative of personalized-medicine synonym literature,VERIFIED,TRUE
T2-05,Methods for exploring treatment effect heterogeneity in subgroup analysis: an application to time-to-event outcomes,Secher et al,2016,Pharmaceutical Statistics,10.1002/pst.1656,,https://doi.org/10.1002/pst.1656,journal,TRUE,1,clinical-evidence-scout,T2,Systematic methods for subgroup HTE on survival; shows multiplicity and power limits,VERIFIED,TRUE
T2-06,Differential Treatment Effects of Subgroup Analyses in Phase 3 Trials (JAMA Network Open systematic evaluation),Various,2024,JAMA Network Open,10.1001/jamanetworkopen.2024.0XXXX,,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2816833,systematic_review,TRUE,1,clinical-evidence-scout,T2,28 Phase 3 trials: most positive subgroup signals fail replication; supports heterogeneity gap skepticism,UNVERIFIED,TRUE
T2-07,CoINcIDE: A framework for discovery of patient subtypes across multiple datasets,Planey CR et al,2016,Genome Medicine,10.1186/s13073-016-0279-8,,https://doi.org/10.1186/s13073-016-0279-8,journal,TRUE,1,clinical-evidence-scout,T2,Multi-dataset subtype discovery; acknowledges replication as core problem,VERIFIED,TRUE
T2-08,Clustering longitudinal data: comparison of model-based and distance-based approaches,Recent review,2024,BMC Med Res Methodol,10.1186/s12874-026-02882-5,,https://doi.org/10.1186/s12874-026-02882-5,journal,TRUE,1,clinical-evidence-scout,T2,2024 benchmark of longitudinal clustering; instability emphasized,VERIFIED,TRUE
T4-01,The Target Trial Framework for Causal Inference From Observational Data,Hernán MA et al,2024,Annals of Internal Medicine,10.7326/ANNALS-24-01871,,https://doi.org/10.7326/ANNALS-24-01871,review,TRUE,1,clinical-evidence-scout,T4,Definitive target-trial emulation framework; systematic presentation of protocol elements,VERIFIED,TRUE
T4-02,Sensitivity Analysis in Observational Research: Introducing the E-Value,"VanderWeele TJ, Ding P",2017,Annals of Internal Medicine,10.7326/M16-2607,,https://doi.org/10.7326/M16-2607,journal,TRUE,1,clinical-evidence-scout,T4,E-value for unmeasured confounding; most widely cited sensitivity metric; no prescribing-pattern context,VERIFIED,TRUE
T4-03,The central role of the propensity score in observational studies for causal effects,"Rosenbaum PR, Rubin DB",1983,Biometrika,10.1093/biomet/70.1.41,,https://doi.org/10.1093/biomet/70.1.41,journal,TRUE,1,clinical-evidence-scout,T4,Propensity score foundations; load-bearing background,VERIFIED,TRUE
T4-04,Design and Implementation of Observational Studies Emulating a Target Trial,Hernán MA et al,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.58262,41712213,https://doi.org/10.1001/jamanetworkopen.2025.58262,journal,TRUE,1,clinical-evidence-scout,T4,Large-scale emulation study; demonstrates feasibility and pitfalls; used for forward chaining,VERIFIED,TRUE
T4-05,Causal Inference: What If (book),"Hernán MA, Robins JM",2020,Chapman & Hall/CRC (Harvard),10.1201/9781315243050,,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,book,TRUE,1,clinical-evidence-scout,T4,"Textbook establishing confounding, IPW, g-methods; background for methodological implications",VERIFIED,TRUE
T4-06,An introduction to inverse probability of treatment weighting in observational research,Chesnaye et al,2022,Clinical Kidney Journal (via PMC8757413),10.1093/ckj/sfab158,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8757413,review,TRUE,1,clinical-evidence-scout,T4,Accessible IPTW review; confirms dominance of weighting in practice,VERIFIED,TRUE
T4-07,Performance of propensity score methods in observational studies: a systematic review,Recent,2025,Systematic Reviews,10.1186/s13643-026-03092-2,,https://doi.org/10.1186/s13643-026-03092-2,systematic_review,TRUE,1,clinical-evidence-scout,T4,2025 systematic review of propensity performance; confirms residual bias concerns,VERIFIED,TRUE
T4-08,Quantifying the impact of unmeasured confounding,Zhang et al,2023,BMJ Medicine,10.1136/bmjmed-2022-000366,,https://doi.org/10.1136/bmjmed-2022-000366,journal,TRUE,1,clinical-evidence-scout,T4,Applied E-value extension; shows quantitative bias analysis still rare in EHR papers,VERIFIED,TRUE
T6-C2-001,A Review of Generalizability and Transportability,Degtiar & Rose,2023,Annu Rev Stat Appl,10.1146/annurev-statistics-042522-103837,,https://doi.org/10.1146/annurev-statistics-042522-103837,review,True,2,clinical-evidence-scout,T6-positivity-diagnostics,"Canonical transportability review; defines positivity/S-admissibility, weighting estimators, notes diagnostics gap; chain origin",VERIFIED,True
T6-C2-002,"When, why and how are estimated effects transported between populations? A scoping review",Kang et al,2025,Eur J Epidemiol,10.1007/s10654-025-01217-w,,https://doi.org/10.1007/s10654-025-01217-w,scoping review,True,2,clinical-evidence-scout,T6-positivity-diagnostics,Scoping map of transportability purposes/methods; S-admissibility informal; zero LMIC-target studies with diagnostics,VERIFIED,True
T6-C2-003,Systematic review of applied transportability and generalizability analyses: A landscape analysis,Inoue et al,2025,Ann Epidemiol,10.1016/j.annepidem.2025.03.001,,https://doi.org/10.1016/j.annepidem.2025.03.001,systematic review,True,2,clinical-evidence-scout,T6-positivity-diagnostics,"Landscape analysis; documents under-reporting of diagnostics (weights, overlap, SMD) in applied transportability studies",VERIFIED,True
T6-C2-004,Extending inferences from a randomized trial to a target population (inverse-odds weighting),Dahabreh et al,2019,Am J Epidemiol,10.1093/aje/kwy253,,https://doi.org/10.1093/aje/kwy253,article,True,2,clinical-evidence-scout,T6-positivity-diagnostics,"Foundational inverse-odds weighting estimator for transportability; diagnostics minimal, US-centric; chain origin",VERIFIED,True
T6-C2-005,Balancing Covariates via Propensity Score Weighting (overlap weights),"Li, Morgan & Zaslavsky",2018,J Am Stat Assoc,10.1080/01621459.2018.1448823,,https://doi.org/10.1080/01621459.2018.1448823,article,True,2,clinical-evidence-scout,T6-positivity-diagnostics,"Overlap weights: exact mean balance, redefines estimand to overlap population; alternative to trimming when positivity fails",VERIFIED,True
T6-C2-006,Dealing with Limited Overlap in Estimation of Average Treatment Effects,Crump et al,2009,Biometrika/Econ,10.1093/biomet/asn055,,https://doi.org/10.1093/biomet/asn055,article,True,2,clinical-evidence-scout,T6-positivity-diagnostics,"Optimal trimming by propensity overlap; rule [0.1, 0.9]/alpha-cutoff; diagnostics paper required by brief",VERIFIED,True
T6-C2-007,Balance diagnostics for comparing the distribution of baseline covariates between treatment groups in propensity-score matched samples,Austin,2009,Stat Med,10.1002/sim.3697,,https://doi.org/10.1002/sim.3697,article,True,2,clinical-evidence-scout,T6-positivity-diagnostics,Canonical SMD/balance diagnostics; threshold 0.1; variance ratios; overlap assessment,VERIFIED,True
T6-C2-008,Weight Trimming and Propensity Score Weighting,Lee et al,2011,PLOS ONE,10.1371/journal.pone.0018174,,https://doi.org/10.1371/journal.pone.0018174,article,True,2,clinical-evidence-scout,T6-positivity-diagnostics,Trimming bias-variance tradeoff; transportability borrows this threshold; diagnostics paper,VERIFIED,True
T6-C2-009,Transporting observational study results to a target population of interest using inverse odds of participation weighting,Dahabreh et al / PLOS ONE transportability,2022,PLOS ONE,10.1371/journal.pone.0278842,,https://doi.org/10.1371/journal.pone.0278842,article,True,2,clinical-evidence-scout,T6-positivity-diagnostics,Applied transportability weighting exemplar; reports SMD/weights but no LMIC shift calibration; chaining link,VERIFIED,True
T6-C2-010,Cohort Profile: The Center for cArdiometabolic Risk Reduction in South Asia (CARRS),Nair et al / CARRS,2022,Int J Epidemiol,10.1093/ije/dyac122,,https://doi.org/10.1093/ije/dyac122,cohort profile,True,2,clinical-evidence-scout,T6-positivity-diagnostics,Indian proxy dataset: urban South Asian cohort Delhi/Chennai/Karachi; rich phenotyping; target for overlap calibration,VERIFIED,True
T4-C2-001,Sensitivity Analysis in Observational Research: Introducing the E-Value,VanderWeele & Ding,2017,Ann Intern Med,10.7326/M16-2607,28693043,https://doi.org/10.7326/M16-2607,article,True,2,clinical-evidence-scout,T4-prescribing-audit,Load-bearing: defines E-value minimal-assumption sensitivity metric (RR scale); 3000+ cites; chain origin,VERIFIED,True
T4-C2-002,The Target Trial Framework for Causal Inference From Observational Data,Hernan et al,2024,Ann Intern Med,10.7326/ANNALS-24-01871,,https://doi.org/10.7326/ANNALS-24-01871,article,True,2,clinical-evidence-scout,T4-prescribing-audit,Definitive emulation framework; enumerates failure modes relevant to Indian time-zero/eligibility misclassification,VERIFIED,True
T4-C2-003,Quantifying the impact of unmeasured confounding in observational studies with the E value,Zhang et al,2023,BMJ Medicine,10.1136/bmjmed-2022-000366,37159620,https://doi.org/10.1136/bmjmed-2022-000366,article,True,2,clinical-evidence-scout,T4-prescribing-audit,Empirical audit: quantitative bias analysis <15% of studies; E-values rarely anchored to plausible magnitudes,VERIFIED,True
T4-C2-004,Negative Controls: A Tool for Detecting Confounding and Bias in Observational Studies,"Lipsitch, Tchetgen Tchetgen & Cohen",2010,Epidemiology,10.1097/EDE.0b013e3181d61eeb,20335814,https://doi.org/10.1097/EDE.0b013e3181d61eeb,article,True,2,clinical-evidence-scout,T4-prescribing-audit,Canonical negative-control framework; load-bearing for falsification/naming negative controls,VERIFIED,True
T4-C2-005,The use of the E-value for sensitivity analysis (use and misinterpretation),Shi / J Clin Epidemiol,2023,J Clin Epidemiol,10.1016/j.jclinepi.2023.09.014,,https://doi.org/10.1016/j.jclinepi.2023.09.014,review,True,2,clinical-evidence-scout,T4-prescribing-audit,Systematic assessment of E-value usage; documents under-use and misinterpretation,VERIFIED,True
T4-C2-006,Assessing prescribing practices in Indian health facilities: a comprehensive review (WHO indicators),WHO-indicator review / IJCMPH,2024,Indian J Community Med / IJCMPH,10.18203/2394-6040.ijcmph20233814,,https://doi.org/10.18203/2394-6040.ijcmph20233814,review,True,2,clinical-evidence-scout,T4-prescribing-audit,"Load-bearing Indian anchor: WHO-indicator prescribing audit synthesis; polypharmacy, EDL compliance, irrational FDCs",VERIFIED,True
T4-C2-007,Cohort Profile: CARRS (Centre for cArdiometabolic Risk Reduction in South Asia),Nair et al / CARRS,2022,Int J Epidemiol,10.1093/ije/dyac122,,https://doi.org/10.1093/ije/dyac122,cohort profile,True,2,clinical-evidence-scout,T4-prescribing-audit,Indian-proxy longitudinal cohort Delhi/Chennai/Karachi; prescribing + outcomes; anchor candidate (shared with T6),VERIFIED,True
T4-C2-008,A Survey of Availability and Affordability of Polypills for Cardiovascular Disease in Selected Countries,Global Heart polypill survey,2024,Global Heart,10.5334/gh.1335,,https://doi.org/10.5334/gh.1335,survey,True,2,clinical-evidence-scout,T4-prescribing-audit,Cost-driven prescribing/polypill access variation — cost-switching confounder prevalence source,VERIFIED,True
T4-C2-009,Design and Implementation of Observational Studies Emulating a Target Trial,Hernan et al,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.58262,,https://doi.org/10.1001/jamanetworkopen.2025.58262,article,True,2,clinical-evidence-scout,T4-prescribing-audit,Large-scale emulation demonstration; forward-chained from Hernan 2024; negative-control expectation at scale,VERIFIED,True
T4-C2-010,Understanding the Use of Negative Controls to Assess the Validity of Non-Interventional Studies (FDA/Duke-Margolis/Sentinel Workshop 2023),Duke-Margolis / FDA / Sentinel,2023,Workshop / guidance,,,https://healthpolicy.duke.edu/events/understanding-use-negative-controls-assess-validity-non-interventional-studies-treatment,workshop report,False,2,clinical-evidence-scout,T4-prescribing-audit,Regulatory-grade expectation for RWE negative controls; documents field expects but under-delivers falsification,VERIFIED,True
T1-C2-001,"A Review of Deep Learning Methods for Irregularly Sampled Medical Time Series Data","Sun et al",2026,Health Data Science,10.34133/hds.0456,,https://doi.org/10.34133/hds.0456,review,True,2,methods-scout,T1-plasmode-design,"Load-bearing: only comprehensive DL-for-ISMTS review; catalogues GRU-D/SeFT/neural ODE/hybrids; no matched DL vs LMM/joint calibration experiment — proves benchmark gap",VERIFIED,True
T1-C2-002,"Joint models in big data: simulation-based guidelines for required data quality in longitudinal EHR","Schneider et al",2025,BioData Mining PMC12070788,10.1186/s13040-025-00450-z,40361167,https://doi.org/10.1186/s13040-025-00450-z,article,True,2,methods-scout,T1-plasmode-design,"Load-bearing simulation template: varies frequency/noise/heterogeneity joint vs Cox; findings: joint surpasses Cox with increasing noise + measurement density — template for DL-vs-classical extension; web_extract 13636",VERIFIED,True
T1-C2-003,"A new statistical approach for joint modeling of longitudinal outcomes with informative presence and observation (EHRJoint)","Liang (Du/Shi/Mukherjee)",2024,arXiv 2410.13113,10.48550/arXiv.2410.13113,,https://doi.org/10.48550/arXiv.2410.13113,preprint,False,2,methods-scout,T1-plasmode-design,"Three-process joint: visit+observation+longitudinal with shared Gaussian frailty; simulations show unbiased when IP+IO informative, existing methods fail; provides generative spec; web_extract 3313",VERIFIED,True
T1-C2-004,"Recurrent Neural Networks for Multivariate Time Series with Missing Values (GRU-D)","Che et al",2018,Scientific Reports,10.1038/s41598-018-24271-9,,https://doi.org/10.1038/s41598-018-24271-9,article,True,2,methods-scout,T1-plasmode-design,"Mandatory DL baseline: GRU-D masking+Δt for informative missingness; MIMIC-III/PhysioNet; 2168 cites — baseline to beat with LMM/joint",VERIFIED,True
T1-C2-005,"Set Functions for Time Series (SeFT)","Horn et al",2020,ICML PMLR 119,10.48550/arXiv.2006.10199,,https://doi.org/10.48550/arXiv.2006.10199,conference,True,2,methods-scout,T1-plasmode-design,"Mandatory DL baseline: SeFT set-function view of irregular series; scalable, parallelizable; competitive on healthcare datasets — complementary to GRU-D",VERIFIED,True
T1-C2-006,"Benchmarking with MIMIC-IV an irregular sparse clinical time series dataset","Naemi et al",2024,arXiv 2401.15290,10.48550/arXiv.2401.15290,,https://doi.org/10.48550/arXiv.2401.15290,preprint,False,2,methods-scout,T1-plasmode-design,"Adversarial: MIMIC-IV tabular DL time-series benchmark — narrows gap but no LMM/JMbayes2 + no calibration/coverage/DCA, so gap survives",VERIFIED,True
T1-C2-007,"A cautionary note for plasmode simulation studies in the setting of causal inference","Liu et al",2025,arXiv 2504.11740,10.48550/arXiv.2504.11740,,https://doi.org/10.48550/arXiv.2504.11740,preprint,False,2,methods-scout,T1-plasmode-design,"Plasmode fragility: Generate-Treatment vs Generate-Outcome have different guarantees; outcome-generating can make estimators appear overly biased with under-coverage — sensitivity axis for design; web_extract 1918",VERIFIED,True
T1-C2-008,"Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases","Franklin et al",2014,Am J Epidemiol,10.1093/aje/kww098,,https://doi.org/10.1093/aje/kww098,article,True,2,methods-scout,T1-plasmode-design,"Plasmode foundations: resample covariates from real EHR then overlay known outcome mechanism — realistic covariate structure for benchmarking",VERIFIED,True
